ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,celltype
cluster11,cluster11,144,0.444972068666061,1.59275945803359,0.000428408184663769,0.00494616722293624,0.00344366387672312,2863,"tags=34%, list=19%, signal=28%",DDX51/SRP14/FAU/RPS28/SNU13/EIF3I/SRP9/EPB41L4A-AS1/NHP2/RPS21/BUD13/HNRNPH3/PURB/ENY2/CUL7/GRWD1/DHX15/RPL34/RPL29/HTR5A/RSL24D1/ZFP62/RPS27A/SSB/SNRPD1/ZNF771/ZNF770/WDR36/DRG1/URB1/EIF3A/ZBTB47/IMP4/SRSF10/DSCR9/SRSF9/RPS27/TTF1/NGDN/TEX10/ZNF184/BOP1/ZNF746/EIF3B/ZNF48/GZF1/CUL1/TRIM71/EMC9,Ex3e
cluster117,cluster117,170,0.401139414284797,1.46592889021224,0.00229495454537268,0.0242882689385275,0.0169101913869566,2926,"tags=26%, list=19%, signal=22%",SERINC1/BNIP3/SYNGR1/ITM2C/RTN3/B4GAT1/NSG1/NAT14/KCNA2/CNIH1/SEL1L/APOL2/DAGLB/NCEH1/DPY19L1/ADPGK/PIGN/ATP2B3/TMEM254/METTL9/OPRL1/SCAMP1/MCOLN3/TSPAN17/TMEM147/GOSR1/PDXDC1/FAM20B/ARHGAP1/EFNA5/TMEM222/SLC20A1/SNAP47/ORMDL1/TEX2/CPD/FAM8A1/TMEM19/SLC38A2/TCTN1/ACP2/LRRC55/CYB561/SERP1/OPRM1,Ex3e
cluster126,cluster126,84,0.463130073871525,1.53094718444529,0.00304212389043739,0.0277954042682615,0.0193519598718107,3551,"tags=39%, list=23%, signal=30%",PGRMC1/GOLT1B/SLC25A4/RHBDD2/OCIAD1/ACSL3/MGST3/NCLN/DHCR24/ATP6AP1/DHCR7/YIPF5/AMFR/FIS1/HM13/SGPL1/LRRC59/CDIPT/UNC50/EMC3/MMGT1/TMEM65/RPN2/CYB5R3/ZMPSTE24/TMED10/KCNK1/TM9SF3/EMC1/SSR1/SEC61B/EI24/TMEM14C,Ex3e
cluster53,cluster53,113,-0.440002048577823,-1.53587119547762,0.0030640603130367,0.0277954042682615,0.0193519598718107,4203,"tags=51%, list=27%, signal=38%",ZNF219/TP53/TFAP4/FOXJ2/CREB1/MORC4/FOS/XPO1/ZSCAN21/SMAD1/CEBPB/E2F4/YEATS4/SALL1/IKZF1/SUPT7L/ARID4A/PCGF5/PATZ1/NFYC/PIAS1/SP1/RELA/MAML1/TLE3/FLI1/LHX6/RXRA/EPC1/ING5/TCF7L2/ZNF76/EPAS1/FBXO38/PHF20L1/BCL6/CTBP2/NCOA2/HMBOX1/LIN52/NCOA1/GRM4/TNRC6B/TLE4/CNOT2/ZFHX3/BCL11B/CKMT2-AS1/DPF3/JPX/KANSL1/POU2F1/ZNF638/ZHX2/CWF19L2/CDH18/TNRC6A/PBX1,Ex3e
cluster64,cluster64,146,0.41517728699452,1.4888036940209,0.00343662973522363,0.0290967984248934,0.0202580279128972,3529,"tags=36%, list=23%, signal=28%",EIF4A2/RAN/KPNB1/TRMT112/SRSF2/SET/CWC15/PHAX/LSM14B/EXOSC6/HTATSF1/FAM98B/LSM1/PDCD4/DDX3Y/WDR75/THAP3/TSPYL5/CSDE1/EIF4G2/ABCF1/MCM3/PPIH/PELP1/ISG20L2/NOL11/EIF3F/CSTF3/DDX49/ZCCHC17/GSK3A/RBX1/DHX38/COL19A1/STRAP/SUB1/WDR18/TPR/EIF4E/BANF1/CEP250/ZRANB2/ZNF692/GPATCH11/PRDM10/DDX41/NCOA5/CHD1/IFIT2/NAP1L4/ARGLU1/CFAP20,Ex3e
cluster66,cluster66,206,-0.370298440150492,-1.41524440841444,0.00476731814737297,0.0378405877947729,0.0263457055512717,2897,"tags=26%, list=19%, signal=22%",TRPM6/MIB2/CD38/DLG5/UHRF1BP1/DCHS2/ZNF154/DAB2IP/UBE2Q2P2/EXOC7/CC2D1A/ELN/PRKX/ETNPPL/CDON/AP4E1/CCNYL1/SDC2/COLQ/ERBB3/LYPD6B/FBN1/NRXN1/FAM126A/PKP2/ARVCF/SULF2/NTN1/UTRN/COL9A1/DLG2/MAP2K7/ADHFE1/TRAPPC9/GRIN2C/PBX3/DTNA/IGF1/ITCH/TOX3/ITGA9/USP8/MAG/KCNIP1/PIGL/PLXDC2/NTM/CSGALNACT1/PARD3/NXPH1/RPS6KA2/PPP2R2B/LHFPL3/ERBB4,Ex3e
cluster112,cluster112,146,0.402205824362112,1.44228871815653,0.00550522786367413,0.0411272905109773,0.0286340025107509,3780,"tags=42%, list=25%, signal=32%",COX4I1/NDUFV1/MRPS18C/NDUFS8/NDUFS2/PDHA1/SLC6A17/TMEM70/CHCHD1/MRPL55/GADD45GIP1/LRPPRC/MDH2/MRPS34/MRPL45/NDUFA6/MRPS14/NDUFA12/AURKAIP1/C1QBP/MRPL42/MRPL27/VSTM2B/MRPS28/MRPS27/MRPL11/MRRF/MRPL19/CS/MRPS26/MRPL23/MRPL37/MRPL47/MRPS35/DAP3/TRMT61B/SLIRP/NDUFS7/HTR5BP/MRPL52/MRPL10/MRPL46/MRPL4/MRPS2/TUFM/MRPS5/OGDH/NDUFA5/MTIF3/DDRGK1/TEX30/NDUFS1/PMPCB/NDUFS3/MRPL44/MRPL41/PMPCA/GRSF1/MRPS25/MRPS10/NDUFAF4/ERAL1,Ex3e
cluster59,cluster59,178,-0.485342397632206,-1.74009253594776,1.45202836821179e-05,0.00184407602762898,0.0017730030601323,2338,"tags=30%, list=15%, signal=26%",SSBP3/TADA2A/SMARCD1/POGZ/PAX6/RERE/BCL7C/MAP6D1/GATAD2B/ELF1/DPF1/NKAPP1/SMARCA2/HDAC2/NCOR2/ZNF644/EHMT1/SOX10/SIN3A/SAP130/PHF12/CBX3/JUN/ZZZ3/RBPJ/MED4/KMT2C/EP400/EP300/MTA3/ARID2/SOX5/GATAD1/HERC2P3/ELF2/KAT2B/SMARCC1/FOXK2/BMPER/FAT2/FOXP1/TMEM163/TEAD1/YY1/TBL1X/TRPS1/SATB2/IQCJ-SCHIP1/SOX6/CHD7/BCL11A/SLC24A2/ST18/NFIA,In1b
cluster8,cluster8,94,-0.547850434189619,-1.78356550399009,9.61271076640446e-05,0.00664036807890615,0.00610924870914697,2254,"tags=33%, list=15%, signal=28%",DCDC2/LRRC49/ZDHHC23/VSTM4/CCDC28A/GUCY1A2/SKAP2/CALCRL/LITAF/NTRK2/KIAA0319/CRTAC1/NOS1/PRTFDC1/FGF1/TYW3/CACNA1A/GALNT9/ARHGEF7/PTPRZ1/HIP1/LDLRAD4/MYO16/MAGI2/ADGRB2/RFTN2/RAD51B/CUX1/TJP1/GRIK1/MBP,In1c
cluster9,cluster9,211,0.435730960444417,1.61948526651558,0.000104572725652065,0.00664036807890615,0.00610924870914697,2916,"tags=36%, list=19%, signal=29%",CIT/CAPRIN1/RPL13A/RPLP0/NPM1/RPL35/RPS16/RPS9/RPS2/RPS24/RPL14/RPL18/RPS5/RPL18A/RPS23/ADARB1/DHX36/ILF3/RPLP1/RPS18/YBX1/DHX9/RPL36/RPS7/RPL27/HNRNPA3/HNRNPDL/PURA/NOP56/HNRNPA2B1/SRSF7/RPL3/RPL32/EIF2AK2/RSL1D1/RPL30/RPSA/RPS3A/HNRNPA0/RPL6/NR2C2/NSA2/NEIL1/PRPF8/RPL8/RPL37A/RPL9/RRP8/RPL19/DDX24/DDX56/RPS3/RBMX/DDX21/RPLP2/RPL13/LARP7/RPL7/SRP72/U2SURP/CCDC137/SRSF3/IGF2BP3/RPS26/RPF2/RPS14/POP1/TRIM61/RPL36AL/RPL10/FTSJ3/RPS19/RPS4X/TTC9/RPL4,In1c
cluster5,cluster5,188,-0.440894537297725,-1.58256558114949,0.000415724011348621,0.0175989831470916,0.0161913562314726,2336,"tags=22%, list=15%, signal=19%",ARC/WWC1/ITSN2/ARRDC1/NRBF2/CFLAR/ZNF710/CDH15/CDADC1/ADO/TTC9C/LURAP1L/OLIG2/ZNF507/SIPA1L3/CYTH1/MAP2K6/MTUS1/MAP3K3/CYTH3/RASGEF1B/RAB28/YPEL1/ZCWPW1/VWA3A/WIPF1/FGFR1OP2/MDGA1/STK3/SESTD1/ZNF365/NHSL1/NUP58/OLIG1/KIF6/IPCEF1/SORBS2/GLIS3/EPHB6/RPS6KA5/DSCAML1/NEFM,In1c
cluster59,cluster59,178,-0.437018346153213,-1.56305207286017,0.000733901193561062,0.0233013628955637,0.0214376401277047,1665,"tags=25%, list=11%, signal=22%",NCOA3/LHX2/ELF2/ARID4B/NCOR2/RNU6-6P/ELF1/PAX6/BRMS1L/ZNF644/RBPJ/MAP6D1/MBD3/GATAD1/SOX10/POGZ/SSBP3/TBL1X/FHL2/BRD2/CREBBP/RERE/KDM2B/CHD7/SOX5/RCOR1/ARID2/RB1/SAP130/BCL11A/KMT2C/TRPS1/EHMT1/TMEM163/ZNF609/FAT2/KAT2B/FOXP1/IQCJ-SCHIP1/SLC24A2/NFIA/SATB2/ST18/SOX6,In1c
cluster69,cluster69,112,-0.476683613547242,-1.59645489009874,0.00163335380573053,0.0414871866655555,0.0381688994602293,2804,"tags=24%, list=18%, signal=20%",ITGB3BP/ZNF471/TFAP2B/CCP110/CENPP/RPGRIP1L/SH3RF2/MAPK1/SHF/KIF1B/C2CD3/TSTD2/JAKMIP2/CALCOCO1/RFX3/MAMLD1/CTTNBP2NL/EBF1/UBE2E2/ABLIM3/KIZ/PRKG1/CHL1/FAM13C/FOXP2/PCDH15/CHN2,In1c
cluster127,cluster127,102,0.478761392021115,1.60251844273818,0.00205565699386009,0.0435114063700387,0.0400312151435913,2738,"tags=31%, list=18%, signal=26%",DLX6-AS1/ATP1B1/ATP6V1F/INSIG2/SGCZ/SEC61A2/TRABD/TMED2/MINPP1/AGPAT5/HSD17B12/STT3A/SMIM12/NRP1/PPOX/DHRS7B/RAB5B/AKAP1/TOMM6/LPCAT1/PDCL/LMAN2/XPO5/RAB14/ERLIN1/ABCB10/NDUFA3/DNAJB11/TMEM101/TFB2M/RRH/RNFT1,In1c
cluster9,cluster9,211,0.496649377930401,1.81609773112306,5.20901057516866e-07,6.61544343046419e-05,5.59283240702319e-05,2858,"tags=41%, list=19%, signal=34%",RPS14/RPSA/PCBP1/RPS17/CIT/RPL15/RPLP1/RBM8A/RPS15/RPL27/RPS25/NSA2/RPL7/PRPF8/RPS13/RPS18/RPL14/RPL10A/DKC1/RPL9/MYBBP1A/RPS3A/RPLP0/RPS23/RSL1D1/RPL13/PABPC1/RPL18/NEIL1/RPLP2/RPL7A/MEPCE/RPL3/G3BP2/RPL18A/RPL30/RPS9/HNRNPA3/RPL31/RPL28/RPL8/RPS7/SF3B2/RPS8/RPS3/TTC9/RPL37A/NPM1/RPL24/RPL27A/RPL36AL/RPL12/RPS4X/RPL7L1/RPF1/RRP12/RPS11/RPL21/ZCRB1/SERBP1/DDX24/NCL/RPL10/RPS20/ADARB1/GNL2/HNRNPDL/STAU2/SRSF3/RPS24/RPL5/RPL22/RPS2/RPL32/HEXIM1/GTPBP4/NIFK/RC3H2/RPL36/RPL13A/CCDC137/POP1/NOP56/RPL19/CAPRIN1/NKRF/MAK16,Ex3b
cluster108,cluster108,161,0.516583321566915,1.82437296614512,2.01789946727927e-06,0.000128136616172234,0.000108329339822361,3238,"tags=35%, list=21%, signal=28%",GAPDH/EIF1B/HSPH1/PKM/CAMK2N2/IGSF8/DNAJB6/PSMA4/EIF1/PCMT1/PSMD3/TPT1/MYH10/PSMB6/AHSA1/FBXO32/TCEAL5/PRDX1/CCT7/UBE2M/NACA/THUMPD1/NGB/CCT4/MYL6/PCNP/SKIV2L/CMAS/RPRML/ACLY/ANP32A/CCT6A/ZC3H15/ACTR1A/FBLL1/POP7/CCT8/RAD23B/GNL1/SND1/EIF5A/KRT10/RIOK3/TUBA8/FUBP1/HDLBP/MTHFD1/EEF1B2/HSPA4L/ZNF622/TCP1/ABCF2/CCT3/PSMC6/ZNF879/NEMF,Ex3b
cluster59,cluster59,178,-0.537154664457652,-1.79088814466526,3.31247567821749e-06,0.00014022813704454,0.000118551761115152,2458,"tags=34%, list=16%, signal=29%",HMG20A/ELF2/TBL1X/LHX2/EHMT1/EZH2/EP400/KDM1A/NKX6-2/SMARCC1/FOXK2/KMT2D/JUN/BMPER/RCOR1/BCL9/NCOR1/GATAD2A/MGA/SIN3A/RB1/RBPJ/MTA3/BRMS1L/NKAPP1/BCL7C/GATAD1/HHAT/PAX6/ARID4B/SMARCD1/KDM6A/CDK8/SLC24A2/RNU6-6P/SMARCD3/KMT2A/TP53BP1/RERE/SOX10/ZNF644/ZNF609/ZZZ3/KMT2C/POGZ/PBRM1/KCNQ1OT1/BPTF/FAT2/NFIB/TRPS1/KAT2B/ARID2/TEAD1/SOX5/ZNF608/CHD7/SOX6/FSTL5/NFIA/ST18,Ex3b
