Symbol,lung_tsne2d_hier_clust,brain_tsne2d_hier_clust,pbmc_tsne2d_hier_clust,liver_tsne2d_hier_clust,colon_tsne2d_hier_clust,gut_tsne2d_hier_clust,heart_tsne2d_hier_clust,kidney_tsne2d_hier_clust,retina_tsne2d_hier_clust
DNAJC30,10,126,31,55,112,134,94,20,84
DNAJC4,90,115,30,39,106,59,139,85,49
DNAJC5,107,124,19,5,117,88,112,31,59
DNAJC5B,101,85,27,133,125,41,105,9,41
DNAJC5G,84,100,75,32,33,33,13,83,24
DNAJC6,76,3,87,87,82,142,91,114,135
DNAJC7,79,47,50,29,96,147,52,93,114
DNAJC8,2,65,97,48,10,92,77,106,31
DNAJC9,2,62,96,48,11,95,98,108,29
DNAL1,34,31,80,83,47,50,50,134,143
DNAL4,35,12,88,91,63,132,79,66,99
DNALI1,53,27,72,91,53,138,39,59,131
DNASE1,54,25,123,74,100,140,8,61,133
DNASE1L1,3,116,13,14,110,87,129,19,90
DNASE1L2,38,21,87,109,48,53,56,15,6
DNASE1L3,20,14,126,79,63,47,31,64,99
DNASE2,78,88,52,64,79,40,24,86,4
DNASE2B,120,78,25,96,135,41,57,12,48
DND1,74,39,110,128,28,8,14,93,108
DNER,37,75,80,56,92,145,37,139,11
DNHD1,68,42,75,36,35,33,13,112,24
DNLZ,93,84,29,137,77,60,120,6,1
DNM1,118,68,43,108,133,46,64,139,46
DNM1L,85,90,29,39,106,59,139,85,49
DNM1P34,60,100,113,,,24,16,92,110
DNM2,97,1,39,108,80,47,63,143,10
DNM3,105,74,21,95,129,42,105,12,40
DNMBP,36,14,88,92,54,125,80,52,99
DNMT1,43,63,95,72,15,103,67,40,78
DNMT3A,42,60,98,72,16,103,67,49,78
DNMT3B,44,54,98,72,67,112,142,121,79
DNMT3L,41,53,94,75,12,111,66,45,77
DNPEP,70,28,70,59,57,12,6,109,114
DNPH1,83,43,52,63,96,31,2,96,25
DNTT,22,26,120,114,40,139,22,118,125
DNTTIP1,39,60,94,72,12,110,69,46,77
DNTTIP2,2,62,97,49,11,92,78,108,29
DOC2A,108,31,52,87,82,50,49,138,13
DOC2B,108,30,74,94,84,44,47,14,11
DOCK1,110,2,84,92,133,47,64,139,46
DOCK10,84,43,69,136,96,30,12,96,26
DOCK11,95,30,38,104,74,51,55,89,2
DOCK2,18,13,54,81,17,120,84,38,69
DOCK3,82,44,69,62,99,31,24,83,26
DOCK4,79,48,83,82,79,19,32,77,14
DOCK5,109,6,46,92,48,132,64,124,46
DOCK6,82,30,81,64,100,13,48,80,14
DOCK7,79,45,81,87,100,12,48,112,144
DOCK8,81,105,49,40,96,32,20,98,19
DOCK9,79,1,84,87,84,48,62,138,10
DOHH,74,99,113,118,31,24,14,109,111
DOK1,34,8,87,80,131,132,64,124,46
DOK2,68,39,69,117,33,27,9,75,139
DOK3,27,15,54,91,23,122,79,72,99
DOK4,23,71,124,68,69,109,136,61,96
DOK5,26,5,88,92,63,142,28,51,128
DOK6,27,15,55,91,22,122,79,72,71
DOK7,35,14,53,90,55,142,28,51,99
DOLK,9,117,11,7,114,82,130,21,89
DOLPP1,104,125,36,8,115,70,124,29,57
DONSON,112,106,110,122,42,148,25,122,124
DOP1A,79,33,41,89,74,35,53,89,16
DOP1B,99,76,34,33,127,68,106,8,38
DOT1L,46,72,104,41,1,106,142,41,78
DPAGT1,91,84,44,98,78,60,119,5,5
DPCD,73,46,76,128,32,18,14,73,110
DPEP1,104,125,36,4,115,70,126,29,57
DPEP2,3,119,16,5,110,83,124,34,58
DPEP2NB,28,5,57,66,23,125,89,72,100
DPEP3,97,23,38,102,74,60,45,87,3
DPF1,40,59,92,75,14,97,70,45,72
DPF2,40,60,95,47,13,98,68,44,73
DPF3,42,53,98,72,16,103,67,49,78
DPH1,77,46,84,90,47,17,50,113,134
DPH2,65,40,73,30,86,9,6,111,137
DPH3,51,34,59,28,53,16,38,114,131
DPH5,82,42,70,29,34,4,9,101,23
DPH6,100,85,23,107,125,41,57,9,41
DPH7,51,27,61,26,41,138,5,59,104
DPM1,89,89,49,63,95,20,20,99,20
DPM2,116,85,26,104,71,44,56,8,6
DPM3,78,33,52,64,79,36,45,87,4
DPP10,52,91,63,30,99,5,29,88,94
DPP3,88,89,51,62,33,31,13,97,19
DPP4,98,127,32,13,105,63,125,4,57
DPP6,115,85,44,100,126,67,103,10,40
DPP7,79,46,82,59,99,16,2,78,144
DPP8,97,1,86,87,84,50,48,124,11
DPP9,109,6,46,94,49,47,65,124,46
DPPA2,23,26,124,127,69,108,61,120,106
DPPA3,26,19,55,66,23,128,90,66,100
DPPA4,26,17,126,21,65,123,61,61,98
DPPA5,84,,,38,33,,13,82,139
DPT,3,59,62,82,99,34,54,9,26
